sender,sender_type,sender_id,timestamp,meta,consent,duration,ended_on,gain_color,loss_color,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-13T17:07:09.333Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"",""platform"":""MacIntel"",""language"":""de"",""locale"":""de-CH"",""timeZone"":""Europe/Zurich"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1686,""scroll_height"":757,""window_innerWidth"":1686,""window_innerHeight"":805,""devicePixelRatio"":2}",,1313.92,response,blue,yellow,0,0,0,0,0,0,0,0,Continue,click #Continue,7568,7558,6217.1,6219,6244.08,7577.78,100,100,{}
consent,html.Form,0_1,2022-07-13T17:07:13.874Z,,true,4531.22,form submission,,,,,,,,,,,,,12109,12109,7567.34,7568,7577.78,12111.5,,,
