sender,sender_type,sender_id,timestamp,meta,consent,duration,ended_on,gain_color,loss_color,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-13T17:06:37.769Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"",""platform"":""MacIntel"",""language"":""de"",""locale"":""de-CH"",""timeZone"":""Europe/Zurich"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1686,""scroll_height"":757,""window_innerWidth"":1686,""window_innerHeight"":805,""devicePixelRatio"":2}",,1595.94,response,yellow,blue,0,0,0,0,0,0,0,0,Continue,click #Continue,4989,4974,3355.28,3300,3378.06,5011.78,100,100,{}
consent,html.Form,0_1,2022-07-13T17:06:43.746Z,,true,5953.22,form submission,,,,,,,,,,,,,10965,10965,4988.12,4990,5011.78,10962.06,,,
