sender,sender_type,sender_id,timestamp,meta,,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T22:03:17.901Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1362,""scroll_height"":1230,""window_innerWidth"":1362,""window_innerHeight"":1278,""devicePixelRatio"":0.5}",,,,,,2663.780999994022,response,yellow,,,blue,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,292110.5,292108.59999999404,289428.291,289437.09999999404,289444.819,292125.456,100,100,{}
consent,html.Form,0_1,2022-07-15T22:03:27.433Z,,,,,true,,9516.143999994034,form submission,,,,,,,,,,,,,,,,,,,,,,301642,301641.59999999404,292108.807,292111,292125.456,301649.273,,,
ProlificID,html.Form,0_2,2022-07-15T22:03:31.462Z,,,,,,,4022.0269999970333,form submission,,,,,,,,,,,,,,,,,,,,,,305671.700000003,305671.299999997,301644.533,301642.200000003,301649.273,305695.251,,,
instructions,html.Form,0_3,2022-07-15T22:04:10.068Z,,,,,,,38584.04899999703,form submission,,,,,,,,,,,,,,,,,,,,,,344279.700000003,344279.299999997,305662.509,305672,305695.251,344323.549,,,
Practice,canvas.Screen,0_4,2022-07-15T22:04:14.255Z,,,,,,,4140.451000000001,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,348467.200000003,348464,344273.792,344280,344323.549,348469.419,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T22:04:14.741Z,,,,,,9,499.44800000003306,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,false,348953.39999999106,348952.228,348462.553,348467.5,348469.419,348968.867,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T22:04:17.739Z,,,,,,9,3013.646999999997,timeout,,0.485,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D78.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D78.png,,,,,,,,,,,,0.53,0.53,false,351950.700000003,351949.848,348952.228,348953.59999999404,348968.867,351982.514,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T22:04:17.743Z,,,,0,,9,NaN,skipped,,,0.485,,0,,,0,,,,,,,0,false,timeout,,,0.53,false,351955.39999999106,351949.848,,351955,,351982.514,,100,
timeout,canvas.Screen,0_5_0_3,2022-07-15T22:04:19.753Z,,,,,,9,1998.5049999999464,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,false,353965.39999999106,353964.526,351949.848,351957,351982.514,353981.019,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T22:04:20.253Z,,,,,,9,499.06100000004517,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,false,354465,354464.036,353964.526,353965.700000003,353981.019,354480.08,,,
