sender,sender_type,sender_id,timestamp,meta,,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T14:21:54.554Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1280,""scroll_height"":569,""window_innerWidth"":1280,""window_innerHeight"":569,""devicePixelRatio"":1.5}",,,,,,4027.0190000029797,response,blue,,,yellow,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,19589.20000000298,19584.70000000298,15540.955,15554.90000000596,15557.681,19590.508,100,100,{}
consent,html.Form,0_1,2022-07-15T14:36:00.170Z,,,,,true,,845615.492,form submission,,,,,,,,,,,,,,,,,,,,,,865206.400000006,865206,19573.857,19589.60000000894,19590.508,865214.085,,,
ProlificID,html.Form,0_2,2022-07-15T14:36:05.382Z,,,,,,,5204.1150000030175,form submission,,,,,,,,,,,,,,,,,,,,,,870418.400000006,870418.200000003,865197.456,865206.6000000089,865214.085,870430.073,,,
instructions,html.Form,0_3,2022-07-15T14:41:36.100Z,,,,,,,330708.22699999704,form submission,,,,,,,,,,,,,,,,,,,,,,1201139.299999997,1201138.299999997,870413.369,870418.5,870430.073,1201161.548,,,
Practice,canvas.Screen,0_4,2022-07-15T14:41:38.657Z,,,,,,,2533.552000008989,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,1203696.200000003,1203695.100000009,1201128.49,1201139.5,1201161.548,1203711.275,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T14:41:39.157Z,,,,,,6,499.87100000004284,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,false,1204196.100000009,1204194.815,1203694.619,1203696.5,1203711.275,1204211.146,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T14:41:40.940Z,,,,,,6,1764.7540000060108,response,,0.485,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D24.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D24.png,,,,,,,,,true,f,keypress(f),0.455,0.455,false,1205979.299999997,1205975.900000006,1204194.815,1204196.299999997,1204211.146,1205994.338,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T14:41:42.940Z,,,,0.485,,6,1999.6480000000447,timeout,,,0.485,,0.455,,,-3,,,,,,,-3,,,,,0.455,false,1207979.200000003,1207977.353,1205977.915,1205983.799999997,1205994.338,1207993.986,,97,
timeout,canvas.Screen,0_5_0_3,2022-07-15T14:41:42.941Z,,,,,,6,NaN,skipped,,,0.485,,,,,,,,,,,,,,,,,0.455,false,1207980.900000006,1207977.353,,1207980.600000009,,1207993.986,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T14:41:43.439Z,,,,,,6,500.1959999999963,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,false,1208478.600000009,1208477.4,1207977.353,1207981.100000009,1207993.986,1208494.182,,,
