sender,sender_type,sender_id,timestamp,meta,,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T22:36:39.432Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1360,""screen_height"":768,""scroll_width"":1360,""scroll_height"":609,""window_innerWidth"":1360,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,,,2061.774999952315,response,yellow,,,blue,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,38685.90000009537,38684.799999952316,36606.473,36613.5,36623.025,38688.298,100,100,{}
consent,html.Form,0_1,2022-07-15T22:36:44.060Z,,,,,true,,4625.102000095365,form submission,,,,,,,,,,,,,,,,,,,,,,43313.60000014305,43313.40000009537,38671.802,38686.200000047684,38688.298,43318.502,,,
ProlificID,html.Form,0_2,2022-07-15T22:36:55.424Z,,,,,,,11358.797999952316,form submission,,,,,,,,,,,,,,,,,,,,,,54677.5,54677.299999952316,43301.994,43313.799999952316,43318.502,54701.246,,,
instructions,html.Form,0_3,2022-07-15T22:37:35.648Z,,,,,,,40200.05399995232,form submission,,,,,,,,,,,,,,,,,,,,,,94901.5,94901.29999995232,54660.996,54677.700000047684,54701.246,94916.989,,,
Practice,canvas.Screen,0_4,2022-07-15T22:37:44.551Z,,,,,,,8882.310999952315,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,103805,103799.29999995232,94900.405,94901.60000014305,94916.989,103811.055,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T22:37:45.042Z,,,,,,12,499.6530000000057,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,true,104295.60000014305,104294.075,103795.292,103805.60000014305,103811.055,104310.708,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T22:37:48.040Z,,,,,,12,2998.021000000008,timeout,,0.47,0.53,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.47blue1yellowb%3D1w%3D100v%3D10.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D10.png,,,,,,,,,,,,0.53,0.47,true,107293.29999995232,107292.09,104294.075,104295.90000009537,104310.708,107308.729,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T22:37:48.047Z,,,,0,,12,NaN,skipped,,,0.53,,0,,,0,,,,,,,0,false,timeout,,,0.47,true,107301.20000004768,107292.09,,107300.79999995232,,107308.729,,100,
timeout,canvas.Screen,0_5_0_3,2022-07-15T22:37:50.039Z,,,,,,12,1998.6959999999963,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,true,109292.29999995232,109290.775,107292.09,107303.90000009537,107308.729,109307.425,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T22:37:50.538Z,,,,,,12,499.5679999999993,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,true,109791.60000014305,109790.404,109290.775,109292.70000004768,109307.425,109806.993,,,
