sender,sender_type,sender_id,timestamp,meta,,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T14:08:04.151Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":832,""window_innerWidth"":1920,""window_innerHeight"":880,""devicePixelRatio"":1}",,,,,,8156.923000000372,response,yellow,,,blue,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,23414.299999999814,23411.900000000373,15221.557,15240.700000000186,15254.977,23414.823,100,100,{}
consent,html.Form,0_1,2022-07-15T14:08:17.984Z,,,,,true,,13831.476999999813,form submission,,,,,,,,,,,,,,,,,,,,,,37246.5,37246.299999999814,23398.17,23414.5,23414.823,37253.527,,,
ProlificID,html.Form,0_2,2022-07-15T14:08:24.710Z,,,,,,,6719.472999999998,form submission,,,,,,,,,,,,,,,,,,,,,,43973.09999999963,43973,37236.816,37246.59999999963,37253.527,43981.295,,,
instructions,html.Form,0_3,2022-07-15T14:09:06.771Z,,,,,,,42053.40500000019,form submission,,,,,,,,,,,,,,,,,,,,,,86034.79999999981,86034.70000000019,43964.645,43973.200000000186,43981.295,86063.419,,,
Practice,canvas.Screen,0_4,2022-07-15T14:09:09.139Z,,,,,,,2336.481000000378,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,88403.20000000019,88399.90000000037,86030.097,86034.90000000037,86063.419,88411.551,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T14:09:09.631Z,,,,,,6,499.5439999999944,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,true,88895.29999999981,88894.545,88394.831,88403.79999999981,88411.551,88911.095,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T14:09:12.629Z,,,,,,6,2997.782999999996,timeout,,0.455,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D78.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D78.png,,,,,,,,,,,,0.485,0.455,true,91892.70000000019,91892.028,88894.545,88895.40000000037,88911.095,91908.878,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T14:09:12.631Z,,,,0,,6,NaN,skipped,,,0.485,,0,,,0,,,,,,,0,false,timeout,,,0.455,true,91894.79999999981,91892.028,,91894.5,,91908.878,,100,
timeout,canvas.Screen,0_5_0_3,2022-07-15T14:09:14.629Z,,,,,,6,1998.1140000000014,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,true,93892.5,93890.453,91892.028,91895.40000000037,91908.878,93906.992,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T14:09:15.127Z,,,,,,6,499.5920000000042,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,true,94390.59999999963,94390.003,93890.453,93893,93906.992,94406.584,,,
