sender,sender_type,sender_id,timestamp,meta,,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T14:22:51.490Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1574,""scroll_height"":863,""window_innerWidth"":1574,""window_innerHeight"":911,""devicePixelRatio"":1}",,,,,,2506.7829999940395,response,blue,,,yellow,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,7639.29999999702,7638.0999999940395,5114.649,5132.899999991059,5131.317,7647.576,100,100,{}
consent,html.Form,0_1,2022-07-15T14:23:02.166Z,,,,,true,,10667.12400000298,form submission,,,,,,,,,,,,,,,,,,,,,,18315,18314.70000000298,7630.946,7639.5999999940395,7647.576,18329.263,,,
ProlificID,html.Form,0_2,2022-07-15T14:23:05.980Z,,,,,,,3799.5369999970208,form submission,,,,,,,,,,,,,,,,,,,,,,22129.09999999404,22128.79999999702,18295.994,18315.09999999404,18329.263,22145.253,,,
instructions,html.Form,0_3,2022-07-15T14:23:57.154Z,,,,,,,51157.54699999702,form submission,,,,,,,,,,,,,,,,,,,,,,73303.09999999404,73302.79999999702,22112.12,22129.20000000298,22145.253,73320.327,,,
Practice,canvas.Screen,0_4,2022-07-15T14:24:01.204Z,,,,,,,4031.172999999995,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,77353.70000000298,77351.5,73303.697,73303.29999999702,73320.327,77353.034,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T14:24:01.688Z,,,,,,6,499.90899999999965,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,false,77837.20000000298,77836.392,77336.345,77354,77353.034,77852.943,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T14:24:03.478Z,,,,,,6,1773.5570000000007,response,,0.485,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D95.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D95.png,,,,,,,,,true,f,keypress(f),0.455,0.455,false,79627.70000000298,79626.5,77836.392,77837.29999999702,77852.943,79636.005,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T14:24:05.470Z,,,,0.485,,6,1999.7179999999935,timeout,,,0.485,,0.455,,,-3,,,,,,,-3,,,,,0.455,false,81619.70000000298,81619.042,79619.667,79629.70000000298,79636.005,81635.723,,97,
timeout,canvas.Screen,0_5_0_3,2022-07-15T14:24:05.472Z,,,,,,6,NaN,skipped,,,0.485,,,,,,,,,,,,,,,,,0.455,false,81621.39999999106,81619.042,,81621.20000000298,,81635.723,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T14:24:05.970Z,,,,,,6,499.9649999999965,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,false,82119.70000000298,82119.026,81619.042,81621.5,81635.723,82135.688,,,
trial,flow.Sequence,0_5_0,2022-07-15T14:24:05.971Z,,,,,,6,4765.991999999998,completion,,,0.485,,,,,,,,,,,,,,,,,0.455,false,82120.09999999404,82119.026,77336.345,77353.89999999106,77353.034,82135.688,,,
fixation,canvas.Screen,0_5_1_0,2022-07-15T14:24:06.470Z,,,,,,18,499.86200000000827,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,false,82619.39999999106,82618.864,82119.026,82120.29999999702,82135.688,82635.55,,,
stimulus,canvas.Screen,0_5_1_1,2022-07-15T14:24:08.619Z,,,,,,18,2131.449999999997,response,,0.545,0.545,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.545blue1yellowb%3D1w%3D100v%3D39.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D39.png,,,,,,,,,true,j,keypress(j),0.455,0.455,false,84768.09999999404,84767,82618.864,82619.59999999404,82635.55,84785.258,,,
choice,canvas.Screen,0_5_1_2,2022-07-15T14:24:10.621Z,,,,0.455,,18,1999.6180000000022,timeout,,,0.545,,0.545,,,-9,,,,,,,-12,,,,,0.455,false,86770.70000000298,86768.161,84768.801,84770.39999999106,84785.258,86784.876,,88,
timeout,canvas.Screen,0_5_1_3,2022-07-15T14:24:10.623Z,,,,,,18,NaN,skipped,,,0.545,,,,,,,,,,,,,,,,,0.455,false,86773,86768.161,,86772.70000000298,,86784.876,,,
ITI,canvas.Screen,0_5_1_4,2022-07-15T14:24:11.119Z,,,,,,18,499.93799999999464,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,false,87268.79999999702,87268.202,86768.161,86773.09999999404,86784.876,87284.814,,,
trial,flow.Sequence,0_5_1,2022-07-15T14:24:11.120Z,,,,,,18,5132.51400000001,completion,,,0.545,,,,,,,,,,,,,,,,,0.455,false,87269.20000000298,87268.202,82119.026,82120.20000000298,82135.688,87284.814,,,
fixation,canvas.Screen,0_5_2_0,2022-07-15T14:24:11.619Z,,,,,,6,499.903999999995,timeout,,,0.515,,,,,,,,,,,,,,,,,0.485,true,87768.59999999404,87768.127,87268.202,87269.20000000298,87284.814,87784.718,,,
stimulus,canvas.Screen,0_5_2_1,2022-07-15T14:24:12.303Z,,,,,,6,666.5819999970263,response,,0.485,0.515,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D57.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.515blue1yellowb%3D1w%3D100v%3D57.png,,,,,,,,,true,f,keypress(f),0.515,0.485,true,88452.5,88451.29999999702,87768.127,87768.79999999702,87784.718,88468.004,,,
choice,canvas.Screen,0_5_2_2,2022-07-15T14:24:14.302Z,,,,0.485,,6,1999.5979999999981,timeout,,,0.515,,0.515,,,-3,,,,,,,-15,,,,,0.485,true,90451.5,90450.946,88452.333,88455.59999999404,88468.004,90467.602,,85,
timeout,canvas.Screen,0_5_2_3,2022-07-15T14:24:14.303Z,,,,,,6,NaN,skipped,,,0.515,,,,,,,,,,,,,,,,,0.485,true,90452.5,90450.946,,90452.20000000298,,90467.602,,,
ITI,canvas.Screen,0_5_2_4,2022-07-15T14:24:14.802Z,,,,,,6,499.99899999999616,timeout,,,0.515,,,,,,,,,,,,,,,,,0.485,true,90951.39999999106,90950.849,90450.946,90452.5,90467.602,90967.601,,,
trial,flow.Sequence,0_5_2,2022-07-15T14:24:14.802Z,,,,,,6,3666.0350000000035,completion,,,0.515,,,,,,,,,,,,,,,,,0.485,true,90951.70000000298,90950.849,87268.202,87269.20000000298,87284.814,90967.601,,,
fixation,canvas.Screen,0_5_3_0,2022-07-15T14:24:15.302Z,,,,,,6,499.86699999999837,timeout,,,0.545,,,,,,,,,,,,,,,,,0.515,false,91451.5,91450.863,90950.849,90951.70000000298,90967.601,91467.468,,,
