sender,sender_type,sender_id,timestamp,meta,,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T21:58:59.433Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":2560,""screen_height"":1440,""scroll_width"":2560,""scroll_height"":1241,""window_innerWidth"":2560,""window_innerHeight"":1289,""devicePixelRatio"":1}",,,,,,6574.83599999702,response,yellow,,,blue,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,11018.09999999404,11016.29999999702,4433.037,4442,4441.464,11024.922,100,100,{}
consent,html.Form,0_1,2022-07-15T21:59:46.241Z,,,,,true,,46801.578,form submission,,,,,,,,,,,,,,,,,,,,,,57826.59999999404,57826.5,11016.557,11018.20000000298,11024.922,57838.413,,,
ProlificID,html.Form,0_2,2022-07-15T21:59:56.456Z,,,,,,,10202.28700000298,form submission,,,,,,,,,,,,,,,,,,,,,,68040.79999999702,68040.70000000298,57817.502,57826.70000000298,57838.413,68042.687,,,
instructions,html.Form,0_3,2022-07-15T22:03:39.042Z,,,,,,,222583.313,form submission,,,,,,,,,,,,,,,,,,,,,,290626.40000000596,290626,68034.323,68040.90000000596,68042.687,290638.778,,,
Practice,canvas.Screen,0_4,2022-07-15T22:03:50.200Z,,,,,,,11144.922000002989,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,301785.200000003,301783.700000003,290622.045,290626.59999999404,290638.778,301788.88,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T22:03:50.697Z,,,,,,12,500.0999999999767,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,false,302281.40000000596,302280.666,301780.262,301785.299999997,301788.88,302288.98,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T22:03:52.444Z,,,,,,12,1738.7200000029989,response,,0.53,0.53,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D11.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.47blue1yellowb%3D1w%3D100v%3D11.png,,,,,,,,,true,f,keypress(f),0.47,0.47,false,304028.700000003,304027.700000003,302280.666,302281.40000000596,302288.98,304040.863,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T22:03:54.446Z,,,,0.53,,12,1998.228999999992,timeout,,,0.53,,0.47,,,-6,,,,,,,-6,,,,,0.47,false,306031.299999997,306030.725,304022.143,304029.799999997,304040.863,306039.092,,94,
timeout,canvas.Screen,0_5_0_3,2022-07-15T22:03:54.447Z,,,,,,12,NaN,skipped,,,0.53,,,,,,,,,,,,,,,,,0.47,false,306032,306030.725,,306032,,306039.092,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T22:03:54.946Z,,,,,,12,500.06099999998696,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,false,306531.200000003,306530.737,306030.725,306032.09999999404,306039.092,306539.153,,,
trial,flow.Sequence,0_5_0,2022-07-15T22:03:54.947Z,,,,,,12,4741.857000000018,completion,,,0.53,,,,,,,,,,,,,,,,,0.47,false,306531.799999997,306530.737,301780.262,301785.299999997,301788.88,306539.153,,,
fixation,canvas.Screen,0_5_1_0,2022-07-15T22:03:55.446Z,,,,,,6,500.03100000001723,timeout,,,0.515,,,,,,,,,,,,,,,,,0.485,false,307031.200000003,307030.761,306530.737,306531.90000000596,306539.153,307039.184,,,
stimulus,canvas.Screen,0_5_1_1,2022-07-15T22:03:56.933Z,,,,,,6,1477.9159999940312,response,,0.515,0.515,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.515blue1yellowb%3D1w%3D100v%3D44.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D44.png,,,,,,,,,true,j,keypress(j),0.485,0.485,false,308517.700000003,308517.09999999404,307030.761,307031.299999997,307039.184,308522.472,,,
choice,canvas.Screen,0_5_1_2,2022-07-15T22:03:58.930Z,,,,0.485,,6,2000.0219999999972,timeout,,,0.515,,0.515,,,3,,,,,,,-3,,,,,0.485,false,310514.700000003,310514.153,308513.827,308519.200000003,308522.472,310522.494,,97,
timeout,canvas.Screen,0_5_1_3,2022-07-15T22:03:58.930Z,,,,,,6,NaN,skipped,,,0.515,,,,,,,,,,,,,,,,,0.485,false,310515.299999997,310514.153,,310515.299999997,,310522.494,,,
ITI,canvas.Screen,0_5_1_4,2022-07-15T22:03:59.430Z,,,,,,6,499.99599999998463,timeout,,,0.515,,,,,,,,,,,,,,,,,0.485,false,311014.799999997,311014.169,310514.153,310515.40000000596,310522.494,311022.49,,,
trial,flow.Sequence,0_5_1,2022-07-15T22:03:59.430Z,,,,,,6,4475.016000000003,completion,,,0.515,,,,,,,,,,,,,,,,,0.485,false,311014.799999997,311014.169,306530.737,306531.799999997,306539.153,311022.49,,,
fixation,canvas.Screen,0_5_2_0,2022-07-15T22:03:59.930Z,,,,,,9,500.04000000003725,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,true,311514.59999999404,311514.158,311014.169,311014.90000000596,311022.49,311522.53,,,
stimulus,canvas.Screen,0_5_2_1,2022-07-15T22:04:00.740Z,,,,,,9,801.4699999999721,response,,0.53,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D41.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D41.png,,,,,,,,,true,j,keypress(j),0.485,0.53,true,312324.90000000596,312324,311514.158,311514.59999999404,311522.53,312330.915,,,
choice,canvas.Screen,0_5_2_2,2022-07-15T22:04:02.738Z,,,,0.485,,9,1999.9990000000107,timeout,,,0.485,,0.53,,,3,,,,,,,0,,,,,0.53,true,314322.90000000596,314322.56,312322.255,312325.90000000596,312330.915,314330.914,,100,
timeout,canvas.Screen,0_5_2_3,2022-07-15T22:04:02.739Z,,,,,,9,NaN,skipped,,,0.485,,,,,,,,,,,,,,,,,0.53,true,314323.59999999404,314322.56,,314323.5,,314330.914,,,
ITI,canvas.Screen,0_5_2_4,2022-07-15T22:04:03.238Z,,,,,,9,499.9640000000363,timeout,,,0.485,,,,,,,,,,,,,,,,,0.53,true,314823.200000003,314822.566,314322.56,314323.59999999404,314330.914,314830.878,,,
trial,flow.Sequence,0_5_2,2022-07-15T22:04:03.239Z,,,,,,9,3800.076000000001,completion,,,0.485,,,,,,,,,,,,,,,,,0.53,true,314823.40000000596,314822.566,311014.169,311014.90000000596,311022.49,314830.878,,,
fixation,canvas.Screen,0_5_3_0,2022-07-15T22:04:03.738Z,,,,,,6,500.11799999995856,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,true,315323,315322.534,314822.566,314823.40000000596,314830.878,315330.996,,,
stimulus,canvas.Screen,0_5_3_1,2022-07-15T22:04:04.896Z,,,,,,6,1149.603999994055,response,,0.455,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D93.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D93.png,,,,,,,,,true,f,keypress(f),0.485,0.455,true,316481.200000003,316480.59999999404,315322.534,315323.09999999404,315330.996,316489.27,,,
choice,canvas.Screen,0_5_3_2,2022-07-15T22:04:06.897Z,,,,0.455,,6,2000.0279999999912,timeout,,,0.485,,0.485,,,9,,,,,,,9,,,,,0.455,true,318481.40000000596,318480.968,316480.873,316482.700000003,316489.27,318489.298,,109,
timeout,canvas.Screen,0_5_3_3,2022-07-15T22:04:06.897Z,,,,,,6,NaN,skipped,,,0.485,,,,,,,,,,,,,,,,,0.455,true,318481.90000000596,318480.968,,318481.799999997,,318489.298,,,
ITI,canvas.Screen,0_5_3_4,2022-07-15T22:04:07.397Z,,,,,,6,500.02700000000186,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,true,318981.40000000596,318981.016,318480.968,318481.90000000596,318489.298,318989.325,,,
trial,flow.Sequence,0_5_3,2022-07-15T22:04:07.397Z,,,,,,6,4150.137999999977,completion,,,0.485,,,,,,,,,,,,,,,,,0.455,true,318981.40000000596,318981.016,314822.566,314823.40000000596,314830.878,318989.325,,,
fixation,canvas.Screen,0_5_4_0,2022-07-15T22:04:07.897Z,,,,,,6,500.08600000001024,timeout,,,0.545,,,,,,,,,,,,,,,,,0.515,false,319481.40000000596,319481.012,318981.016,318981.5,318989.325,319489.411,,,
stimulus,canvas.Screen,0_5_4_1,2022-07-15T22:04:08.634Z,,,,,,6,729.1889999940176,response,,0.545,0.545,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.545blue1yellowb%3D1w%3D100v%3D52.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.515blue1yellowb%3D1w%3D100v%3D52.png,,,,,,,,,true,j,keypress(j),0.515,0.515,false,320219.200000003,320218.59999999404,319481.012,319481.5,319489.411,320222.678,,,
choice,canvas.Screen,0_5_4_2,2022-07-15T22:04:10.630Z,,,,0.515,,6,2000.0029999999679,timeout,,,0.545,,0.545,,,-3,,,,,,,6,,,,,0.515,false,322214.799999997,322214.387,320214.291,320220.09999999404,320222.678,322222.681,,106,
timeout,canvas.Screen,0_5_4_3,2022-07-15T22:04:10.630Z,,,,,,6,NaN,skipped,,,0.545,,,,,,,,,,,,,,,,,0.515,false,322215.299999997,322214.387,,322215.200000003,,322222.681,,,
ITI,canvas.Screen,0_5_4_4,2022-07-15T22:04:11.130Z,,,,,,6,500.0659999999916,timeout,,,0.545,,,,,,,,,,,,,,,,,0.515,false,322714.90000000596,322714.435,322214.387,322215.299999997,322222.681,322722.747,,,
trial,flow.Sequence,0_5_4,2022-07-15T22:04:11.130Z,,,,,,6,3725.109999999986,completion,,,0.545,,,,,,,,,,,,,,,,,0.515,false,322715,322714.435,318981.016,318981.5,318989.325,322722.747,,,
fixation,canvas.Screen,0_5_5_0,2022-07-15T22:04:11.630Z,,,,,,18,500.0560000000405,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,true,323215,323214.434,322714.435,322715,322722.747,323222.803,,,
stimulus,canvas.Screen,0_5_5_1,2022-07-15T22:04:12.617Z,,,,,,18,978.9969999970053,response,,0.455,0.545,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D69.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.545blue1yellowb%3D1w%3D100v%3D69.png,,,,,,,,,true,f,keypress(f),0.545,0.455,true,324202.299999997,324201.799999997,323214.434,323215,323222.803,324205.988,,,
choice,canvas.Screen,0_5_5_2,2022-07-15T22:04:14.614Z,,,,0.455,,18,2000.228999999992,timeout,,,0.545,,0.545,,,9,,,,,,,15,,,,,0.455,true,326198.40000000596,326197.757,324197.711,324203.09999999404,324205.988,326206.217,,115,
timeout,canvas.Screen,0_5_5_3,2022-07-15T22:04:14.614Z,,,,,,18,NaN,skipped,,,0.545,,,,,,,,,,,,,,,,,0.455,true,326199,326197.757,,326198.90000000596,,326206.217,,,
ITI,canvas.Screen,0_5_5_4,2022-07-15T22:04:15.113Z,,,,,,18,499.89000000001397,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,true,326698.299999997,326697.807,326197.757,326199.09999999404,326206.217,326706.107,,,
trial,flow.Sequence,0_5_5,2022-07-15T22:04:15.114Z,,,,,,18,3975.0599999999977,completion,,,0.545,,,,,,,,,,,,,,,,,0.455,true,326698.40000000596,326697.807,322714.435,322715,322722.747,326706.107,,,
fixation,canvas.Screen,0_5_6_0,2022-07-15T22:04:15.614Z,,,,,,6,500.045999999973,timeout,,,0.545,,,,,,,,,,,,,,,,,0.515,true,327198.299999997,327197.814,326697.807,326698.40000000596,326706.107,327206.153,,,
stimulus,canvas.Screen,0_5_6_1,2022-07-15T22:04:16.777Z,,,,,,6,1154.6469999970286,response,,0.515,0.545,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.515blue1yellowb%3D1w%3D100v%3D81.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.545blue1yellowb%3D1w%3D100v%3D81.png,,,,,,,,,true,f,keypress(f),0.545,0.515,true,328361.299999997,328360.799999997,327197.814,327198.40000000596,327206.153,328364.514,,,
choice,canvas.Screen,0_5_6_2,2022-07-15T22:04:18.772Z,,,,0.515,,6,2000.1089999999967,timeout,,,0.545,,0.545,,,-3,,,,,,,12,,,,,0.515,true,330356.700000003,330356.199,328356.078,328362.299999997,328364.514,330364.623,,112,
timeout,canvas.Screen,0_5_6_3,2022-07-15T22:04:18.773Z,,,,,,6,NaN,skipped,,,0.545,,,,,,,,,,,,,,,,,0.515,true,330357.299999997,330356.199,,330357.299999997,,330364.623,,,
ITI,canvas.Screen,0_5_6_4,2022-07-15T22:04:19.272Z,,,,,,6,499.96999999997206,timeout,,,0.545,,,,,,,,,,,,,,,,,0.515,true,330856.700000003,330856.224,330356.199,330357.299999997,330364.623,330864.593,,,
trial,flow.Sequence,0_5_6,2022-07-15T22:04:19.272Z,,,,,,6,4150.116999999969,completion,,,0.545,,,,,,,,,,,,,,,,,0.515,true,330856.700000003,330856.224,326697.807,326698.40000000596,326706.107,330864.593,,,
fixation,canvas.Screen,0_5_7_0,2022-07-15T22:04:19.772Z,,,,,,12,499.9670000000042,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,true,331356.799999997,331356.231,330856.224,330856.90000000596,330864.593,331364.56,,,
stimulus,canvas.Screen,0_5_7_1,2022-07-15T22:04:20.743Z,,,,,,12,962.1400000029826,response,,0.47,0.53,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.47blue1yellowb%3D1w%3D100v%3D26.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D26.png,,,,,,,,,true,f,keypress(f),0.53,0.47,true,332327.5,332326.700000003,331356.231,331356.799999997,331364.56,332331.22,,,
choice,canvas.Screen,0_5_7_2,2022-07-15T22:04:22.739Z,,,,0.47,,12,2000.1170000000275,timeout,,,0.53,,0.53,,,6,,,,,,,18,,,,,0.47,true,334323.700000003,334322.948,332322.863,332328.299999997,332331.22,334331.337,,118,
timeout,canvas.Screen,0_5_7_3,2022-07-15T22:04:22.739Z,,,,,,12,NaN,skipped,,,0.53,,,,,,,,,,,,,,,,,0.47,true,334324.200000003,334322.948,,334324.200000003,,334331.337,,,
ITI,canvas.Screen,0_5_7_4,2022-07-15T22:04:23.239Z,,,,,,12,500.0009999999893,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,true,334823.40000000596,334822.955,334322.948,334324.200000003,334331.337,334831.338,,,
trial,flow.Sequence,0_5_7,2022-07-15T22:04:23.239Z,,,,,,12,3958.362000000023,completion,,,0.53,,,,,,,,,,,,,,,,,0.47,true,334823.5,334822.955,330856.224,330856.700000003,330864.593,334831.338,,,
