sender,sender_type,sender_id,timestamp,meta,,ITI_value,choice,consent,diff_net_value,duration,ended_on,gain_color,left,left_side,loss_color,not_choice,picture_left,picture_right,points,points1Block,points2Block,points3Block,points4Block,points5Block,points6Block,pointsBlock,responded,response,response_action,right,right_side,switch_sides,time_commit,time_end,time_render,time_run,time_show,time_switch,totalPoints,totalPoints_practice,url
welcome,html.Screen,0_0,2022-07-15T14:13:18.628Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/Rey/loss-perception/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":577,""window_innerWidth"":1366,""window_innerHeight"":625,""devicePixelRatio"":1}",,,,,,2786.3010000953673,response,blue,,,yellow,,,,,0,0,0,0,0,0,0,,Continue,click #Continue,,,,10808.100000023842,10802.400000095367,7932.71,7959.900000095367,8016.099,10832.595,100,100,{}
consent,html.Form,0_1,2022-07-15T14:13:34.242Z,,,,,true,,15588.905,form submission,,,,,,,,,,,,,,,,,,,,,,26422,26421.5,10799.313,10808.800000071526,10832.595,26431.796,,,
ProlificID,html.Form,0_2,2022-07-15T14:13:45.867Z,,,,,,,11614.504000071527,form submission,,,,,,,,,,,,,,,,,,,,,,38046.90000009537,38046.300000071526,26415.272,26422.400000095367,26431.796,38064.449,,,
instructions,html.Form,0_3,2022-07-15T14:14:15.371Z,,,,,,,29483.751000047683,form submission,,,,,,,,,,,,,,,,,,,,,,67548.90000009537,67548.20000004768,38047.78,38047.300000071526,38064.449,67596.2,,,
Practice,canvas.Screen,0_4,2022-07-15T14:14:20.638Z,,,,,,,5211.70000009537,response,,,,,,,,,,,,,,,,,space,keypress(Space),,,,72816.20000004768,72807.90000009537,67546.365,67549.10000002384,67596.2,72812.634,,,
fixation,canvas.Screen,0_5_0_0,2022-07-15T14:14:21.121Z,,,,,,6,549.9709999999905,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,false,73299.20000004768,73296.218,72796.242,72817.10000002384,72812.634,73362.605,,,
stimulus,canvas.Screen,0_5_0_1,2022-07-15T14:14:22.841Z,,,,,,6,1649.2950000953715,response,,0.485,0.485,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.485blue1yellowb%3D1w%3D100v%3D92.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D92.png,,,,,,,,,true,j,keypress(j),0.455,0.455,false,75018.70000004768,75011.90000009537,73296.218,73299.90000009537,73362.605,75045.882,,,
choice,canvas.Screen,0_5_0_2,2022-07-15T14:14:24.854Z,,,,0.455,,6,2000.3150000000023,timeout,,,0.485,,0.485,,,-9,,,,,,,-9,,,,,0.455,false,77031.60000002384,77029.348,75029.449,75031.10000002384,75045.882,77046.197,,91,
timeout,canvas.Screen,0_5_0_3,2022-07-15T14:14:24.862Z,,,,,,6,NaN,skipped,,,0.485,,,,,,,,,,,,,,,,,0.455,false,77039.70000004768,77029.348,,77038.80000007153,,77046.197,,,
ITI,canvas.Screen,0_5_0_4,2022-07-15T14:14:25.352Z,,,,,,6,499.4320000000007,timeout,,,0.485,,,,,,,,,,,,,,,,,0.455,false,77530.20000004768,77529.02,77029.348,77040.40000009537,77046.197,77545.629,,,
trial,flow.Sequence,0_5_0,2022-07-15T14:14:25.353Z,,,,,,6,4716.385999999999,completion,,,0.485,,,,,,,,,,,,,,,,,0.455,false,77531.40000009537,77529.02,72796.242,72817,72812.634,77545.629,,,
fixation,canvas.Screen,0_5_1_0,2022-07-15T14:14:25.853Z,,,,,,18,500.1490000000049,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,true,78030.90000009537,78029.167,77529.02,77531.90000009537,77545.629,78045.778,,,
stimulus,canvas.Screen,0_5_1_1,2022-07-15T14:14:28.165Z,,,,,,18,2293.52200007152,response,,0.455,0.545,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.455blue1yellowb%3D1w%3D100v%3D55.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.545blue1yellowb%3D1w%3D100v%3D55.png,,,,,,,,,true,f,keypress(f),0.545,0.455,true,80343.5,80339.30000007153,78029.167,78031.40000009537,78045.778,80362.251,,,
choice,canvas.Screen,0_5_1_2,2022-07-15T14:14:30.170Z,,,,0.455,,18,1999.9349999999977,timeout,,,0.545,,0.545,,,-9,,,,,,,-18,,,,,0.455,true,82348.10000002384,82345.731,80345.781,80357.10000002384,80362.251,82362.186,,82,
timeout,canvas.Screen,0_5_1_3,2022-07-15T14:14:30.176Z,,,,,,18,NaN,skipped,,,0.545,,,,,,,,,,,,,,,,,0.455,true,82353.90000009537,82345.731,,82352.90000009537,,82362.186,,,
ITI,canvas.Screen,0_5_1_4,2022-07-15T14:14:30.669Z,,,,,,18,499.88000000000466,timeout,,,0.545,,,,,,,,,,,,,,,,,0.455,true,82847.10000002384,82845.612,82345.731,82354.40000009537,82362.186,82862.066,,,
trial,flow.Sequence,0_5_1,2022-07-15T14:14:30.670Z,,,,,,18,5299.982999999993,completion,,,0.545,,,,,,,,,,,,,,,,,0.455,true,82847.80000007153,82845.612,77529.02,77531.80000007153,77545.629,82862.066,,,
fixation,canvas.Screen,0_5_2_0,2022-07-15T14:14:31.169Z,,,,,,12,499.9789999999921,timeout,,,0.53,,,,,,,,,,,,,,,,,0.47,false,83347.5,83345.677,82845.612,82848.5,82862.066,83362.045,,,
stimulus,canvas.Screen,0_5_2_1,2022-07-15T14:14:33.787Z,,,,,,12,2599.1550000476855,response,,0.53,0.53,,,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.53blue1yellowb%3D1w%3D100v%3D47.png,https://raw.githubusercontent.com/carero2/loss-perception/main/png/0.47blue1yellowb%3D1w%3D100v%3D47.png,,,,,,,,,true,j,keypress(j),0.47,0.47,false,85965.20000004768,85961.20000004768,83345.677,83348,83362.045,86007.288,,,
choice,canvas.Screen,0_5_2_2,2022-07-15T14:14:35.819Z,,,,0.47,,12,2004.5720000000001,timeout,,,0.53,,0.53,,,-6,,,,,,,-24,,,,,0.47,false,87997.10000002384,87995.19,85961.903,85977.30000007153,86007.288,88011.86,,76,
timeout,canvas.Screen,0_5_2_3,2022-07-15T14:14:35.823Z,,,,,,12,NaN,skipped,,,0.53,,,,,,,,,,,,,,,,,0.47,false,88001.60000002384,87995.19,,88000.60000002384,,88011.86,,,
